,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,marta_silva_15,"eu vi ali uma palmeira,, EGC🏐",esmoriz,282,275,14416,340,"Our top 🔟 under the lights!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/cjkswSYiBn","['SaudiArabianGP', 'F1']"
1,Its_danielito16,"I'm stupid, I know, I don't like to be, but hey, maybe it's a virtue.
#loveyourself #liveyourlife",,180,161,3593,11602,"LEWIS HAMILTON TAKES THE 🏁

And with the fastest lap, he moves level in the championship race with Max Verstappen on 369.5 points!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/hnHfPElD3J",[]
2,SKZR_Josu,"24.Youtuber, streamer y F1 driver for @SKZR_eSports .
https://t.co/xTgDgBVuH4",España,4997,661,12027,15130,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
3,DUCATI_MANIAX,"こころのやさしいあかうんとです 
どなたでもごしつもんください 
くわしいじょうほうございます 
おいしいどるちぇもございます 
かっふぇもわかしてございます   

でも、カギアカはぶろっくしています。 ごめんなさい",割と日本,725,969,127709,18,Elation for Bottas but heartbreak for Ocon 🏁 #SaudiArabianGP #F12021 #F1 https://t.co/LVFCpu29kW,"['SaudiArabianGP', 'F12021', 'F1']"
4,NLatifi_fan,"Fan of Nicholas Latifi 💙
Canadian Formula1 driver for Williams🇨🇦🏎️",,103,120,2144,41,"An emotional weekend for the team comes to a close as the chequered flag falls on the #SaudiArabianGP

LAT 🇨🇦 P12
RUS 🇬🇧 DNF https://t.co/uwgZAqXX2a",['SaudiArabianGP']
5,tomcairns95,@motorsportweek Reporter | @downforceradio Racing History Editor | @PremierSimGL & @WORleague Commentator | Enquiries: tcairnsmedia@gmail.com,,3205,1421,10636,2,"Gallery: The Saudi Arabian Grand Prix in photos
 
Full story 👉 https://t.co/JITq7tGSOF
 
#F1 #Gallery #SaudiArabianGP
https://t.co/JITq7tGSOF","['F1', 'Gallery', 'SaudiArabianGP']"
6,Natts_Lopez,"A girl from Argentina who loves fashion, music, comics, NFL and football.
Love watching sports and criminal series.
#CARP #COYG #MiaSanMia #GoPats #Marvel #DC",ARG/UK/GER/USA/NED,5002,1361,169268,1523,"⚠️ 5 SECOND PENALTY

Max Verstappen is handed a five-second penalty for leaving the track and gaining an advantage

#SaudiArabianGP 🇸🇦 #F1",['SaudiArabianGP']
7,TheSunFootball,"Breaking news, goals, live coverage and more. Give us a like on Facebook too: https://t.co/JcmSsjtOAm",,618,509509,308451,2,Lewis Hamilton slams Max Verstappen and makes bold accusation after bonkers #SaudiArabianGP - as F1 title rivals gear up for all-or-nothing finale https://t.co/w7SXT3aaFN,['SaudiArabianGP']
8,SteveStevens47,@F1 Fan+Support @BristolCity+@LFC +F1/ Football/FormulaE/IndyCar/MotoGP/WSeries/General News+Polls/Horoscopes #211 #LN4 #JFT97 #YNWA - @SteveStevens50 Other Acc,"🔴Bristol, England🔴",83,9735,1366461,21,"🗣️ Christian Horner: 

""I think we feel hard done by with the 5-second penalty and in the incident where Lewis has driven up the back of Max.

""They'll go and explain in front of the stewards, but Max was trying to give the place up.""

#F1 #Formula1 #SaudiArabianGP 🇸🇦",[]
9,ricardomachad90,,,92,140,7079,2704,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
10,gigoGHOST,A head full of dreams 🤪 | Qatar 🇶🇦 2022 WorldCup 🏆| kendrick |J Cole |Eminem.,,4617,3932,233375,321,"So, so close to a second podium of the season for @OconEsteban!

@ValtteriBottas got him on the line 🤏

#SaudiArabianGP 🇸🇦 #F1 https://t.co/fYaONE7EPm","['SaudiArabianGP', 'F1']"
11,w12move,,,57,467,224549,2704,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
12,Oyama_SA,Live life so well that even death loves to see you alive,Somewhere else,625,122,2891,143,"⚠️Important: LISTEN to Max’s engine revs. Listen to how they drop suddenly almost to zero as he brakes hard and locks the rear wheels. This piece of audio is the smoking gun. 
Waits until Lewis is directly behind and then brakes heavily. #F1 #SaudiArabianGP @MissedApexF1 https://t.co/d2msLVZIZN",[]
13,DuthKid,🎄Twitch Affiliate 🎄They/She 🏳️‍🌈GNC 🏳️‍🌈LGBTQIA+,,44,84,1755,3920,"DRIVER STANDINGS

For the first time since 1974, our top two go into the finale TIED on points 🤯

#SaudiArabianGP 🇸🇦 #F1 https://t.co/aWnshxNyT7","['SaudiArabianGP', 'F1']"
14,duda_lombardii,surtando sempre,,229,139,10576,428,"Bottas on the podium 👀🤣
#SaudiArabianGP #WTF1 https://t.co/qdt7YHH5Rq","['SaudiArabianGP', 'WTF1']"
15,SonjaBeeston,,"Bloemfontein, South Africa",81,7,113,1034,"After 50 intense laps of battling, the emotions come pouring out for @MercedesAMGF1
 
#SaudiArabianGP 🇸🇦 #F1 https://t.co/JMXkWwKPyq","['SaudiArabianGP', 'F1']"
16,ArmandAtonga,EPC CONSULTING,Murcia,2631,666,6767,15130,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
17,Natts_Lopez,"A girl from Argentina who loves fashion, music, comics, NFL and football.
Love watching sports and criminal series.
#CARP #COYG #MiaSanMia #GoPats #Marvel #DC",ARG/UK/GER/USA/NED,5002,1361,169268,766,"LAP 43/50

Hamilton takes the lead from Verstappen!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/JdSyMtOefX","['SaudiArabianGP', 'F1']"
18,flamesofl0v,"🏁 ferrari&mclaren | bayern,real and chelsea | #MV33 🦁",fest festival front row,351,1023,65050,504,"Max on his #F1DriverOfTheDay: ""Luckily the fans have a clear mind about racing. What happened today is unbelievable. I am just trying to race. This sport is more about penalties than racing. For me that‘s not F1. At least the fans enjoyed it. I gave it my all.""

#SaudiArabianGP",['F1DriverOfTheDay']
19,minakami_3,"書いたり描いたり。最近はヘラ釣りも
書読：https://t.co/d8UyIwsW36
絵渋：https://t.co/6Xd2JIKvQo",千葉県の彼方,749,290,52312,321,"So, so close to a second podium of the season for @OconEsteban!

@ValtteriBottas got him on the line 🤏

#SaudiArabianGP 🇸🇦 #F1 https://t.co/fYaONE7EPm","['SaudiArabianGP', 'F1']"
20,Bettina9898,,"Domoszló, Magyarország",3234,1212,289725,32,"""The team did a good job and I thought I drove a good race, but the red flags changed everything.” 🚩😳

@LandoNorris shares his thoughts on the #SaudiArabianGP. Hear from the rest of the team too. 💬👇",[]
21,reneedicherri,"art is my thing & I work for Adobe doing it
✨irresponsibly cheerful ✨
日本語を勉強しています！",San Francisco,1475,1021,9690,0,meet us at the @k1speed in dublin for therapy laps after that #SaudiArabianGP https://t.co/JK5IPV2nkT,['SaudiArabianGP']
22,Ben23Reu,Sportandall,,27,0,167,108,Lewis Hamilton was not holding back on Verstappen's driving style 😬 #SaudiArabianGP https://t.co/9Nv21ieTfP,['SaudiArabianGP']
23,marocchinooo,𝙵𝙾𝚁𝚉𝙰 𝚆𝚈𝙳𝙰𝙳 𝙻𝙰 𝙼𝙰𝙶𝙸𝙲𝙰 🔴⚪️ 𝚁𝙾𝙼𝙰𝙽𝙸𝚂𝚃𝙰 🔴🟡,"Quartier Belvédère, Casablanca",961,1029,10678,3920,"DRIVER STANDINGS

For the first time since 1974, our top two go into the finale TIED on points 🤯

#SaudiArabianGP 🇸🇦 #F1 https://t.co/aWnshxNyT7","['SaudiArabianGP', 'F1']"
